"filename", "language", "JavaScript", "Vue", "SCSS", "JSON", "JSON with Comments", "Markdown", "HTML", "comment", "blank", "total"
"d:\PersonalProject\house-manager\src\views\repair\myRepair.vue", "Vue", 0, 150, 0, 0, 0, 0, 0, 0, 19, 169
"d:\PersonalProject\house-manager\src\views\repair\repair.vue", "Vue", 0, 134, 0, 0, 0, 0, 0, 0, 23, 157
"d:\PersonalProject\house-manager\src\views\seeContract\contractDetail.vue", "Vue", 0, 115, 0, 0, 0, 0, 0, 5, 17, 137
"d:\PersonalProject\house-manager\src\views\seeContract\seeContract.vue", "Vue", 0, 102, 0, 0, 0, 0, 0, 0, 17, 119
"d:\PersonalProject\house-manager\src\views\service\addHouse.vue", "Vue", 0, 138, 0, 0, 0, 0, 0, 0, 10, 148
"d:\PersonalProject\house-manager\src\views\service\addHouseDetail.vue", "Vue", 0, 116, 0, 0, 0, 0, 0, 0, 19, 135
"d:\PersonalProject\house-manager\src\views\service\contractDetail.vue", "Vue", 0, 160, 0, 0, 0, 0, 0, 0, 28, 188
"d:\PersonalProject\house-manager\src\views\service\repairDetail.vue", "Vue", 0, 177, 0, 0, 0, 0, 0, 0, 26, 203
"d:\PersonalProject\house-manager\src\views\service\serviceHome.vue", "Vue", 0, 129, 0, 0, 0, 0, 0, 0, 18, 147
"d:\PersonalProject\house-manager\src\views\service\usersInformation.vue", "Vue", 0, 125, 0, 0, 0, 0, 0, 0, 17, 142
"d:\PersonalProject\house-manager\src\views\service\verifyContract.vue", "Vue", 0, 70, 0, 0, 0, 0, 0, 0, 8, 78
"d:\PersonalProject\house-manager\src\views\service\verifyOrders.vue", "Vue", 0, 166, 0, 0, 0, 0, 0, 0, 20, 186
"d:\PersonalProject\house-manager\src\views\service\verifyRepair.vue", "Vue", 0, 67, 0, 0, 0, 0, 0, 0, 9, 76
"d:\PersonalProject\house-manager\src\views\uploadContract\uploadContract.vue", "Vue", 0, 131, 0, 0, 0, 0, 0, 1, 24, 156
"d:\PersonalProject\house-manager\src\views\worker\worker.vue", "Vue", 0, 150, 0, 0, 0, 0, 0, 0, 16, 166
"d:\PersonalProject\house-manager\vue.config.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 3, 1, 33
"Total", "-", 482, 5116, 1345, 9776, 8, 19, 16, 163, 852, 17777
